author,text
Есенин,"Вот уж вечер.  Роса
Блестит на крапиве.
Я стою у дороги,
Прислонившись к иве.
От луны свет большой
Прямо на нашу крышу.
Где-то песнь соловья
Вдалеке я слышу."
Есенин,"Хорошо и тепло,
Как зимой у печки.
И березы стоят,
Как большие свечки.
И вдали за рекой,
Видно, за опушкой,
Сонный сторож стучит
Мертвой колотушкой."
Есенин,"Поет зима - аукает,
Мохнатый лес баюкает
Стозвоном сосняка.
Кругом с тоской глубокою
Плывут в страну далекую
Седые облака."
Есенин,"Там, где капустные грядки
Красной водой поливает восход,
Клененочек маленький матке
Зеленое вымя сосет."
Есенин,"А по двору метелица
Ковром шелковым стелется,
Но больно холодна.
Воробышки игривые,
Как детки сиротливые,
Прижались у окна.
Озябли пташки малые,
Голодные, усталые,
И жмутся поплотней.
А вьюга с ревом бешеным
Стучит по ставням свешенным
 И злится все сильней."
Есенин,"И дремлют пташки нежные
Под эти вихри снежные
У мерзлого окна.
И снится им прекрасная,
В улыбках солнца ясная
Красавица весна."
Есенин,"Под венком лесной ромашки
Я строгал, чинил челны,
Уронил кольцо милашки
В струи пенистой волны.
Лиходейная разлука,
Как коварная свекровь.
Унесла колечко щука,
С ним - милашкину любовь.
Не нашлось мое колечко,
Я пошел с тоски на луг,
Мне вдогон смеялась речка:
""У милашки новый друг"".
Не пойду я к хороводу:
Там смеются надо мной,
Повенчаюсь в непогоду
С перезвонною волной."
Есенин,"Темна ноченька, не спится,
Выйду к речке на лужок.
Распоясала зарница
В пенных струях поясок.
На бугре береза-свечка
В лунных перьях серебра.
Выходи, мое сердечко,
Слушать песни гусляра.
Залюбуюсь, загляжусь ли
На девичью красоту,
А пойду плясать под гусли,
Так сорву твою фату.

В терем темный, в лес зеленый,
На шелковы купыри,
Уведу тебя под склоны
Вплоть до маковой зари."
Есенин,"Хороша была Танюша, краше не было в селе,
Красной рюшкою по белу сарафан на подоле.
У оврага за плетнями ходит Таня ввечеру.
Месяц в облачном тумане водит с тучами игру.
Вышел парень, поклонился кучерявой головой:
""Ты прощай ли, моя радость, я женюся на другой"".
Побледнела, словно саван, схолодела, как роса.
Душегубкою-змеею развилась ее коса.

""Ой ты, парень синеглазый, не в обиду я скажу,
Я пришла тебе сказаться:  за другого выхожу"".
Не заутренние звоны, а венчальный переклик,
Скачет свадьба на телегах, верховые прячут лик.

Не кукушки загрустили - плачет Танина родня,
На виске у Тани рана от лихого кистеня.
Алым венчиком кровинки запеклися на челе, -
Хороша была Танюша, краше не было в селе."
Есенин,"За горами, за желтыми долами
Протянулась тропа деревень.
Вижу лес и вечернее полымя,
И обвитый крапивой плетень.
Там с утра над церковными главами
Голубеет небесный песок,
И звенит придорожными травами
От озер водяной ветерок.
Не за песни весны над равниною
Дорога мне зеленая ширь -
Полюбил я тоской журавлиною
На высокой горе монастырь.

Каждый вечер, как синь затуманится,
Как повиснет заря на мосту,
Ты идешь, моя бедная странница,
Поклониться любви и кресту.

Кроток дух монастырского жителя,
Жадно слушаешь ты ектенью,
Помолись перед ликом спасителя
За погибшую душу мою."
